ID,°×³ãµÆ,Time,AcPower,×Ü
2.02E+11,80229,1690371377,879576,959805
2.02E+11,80798,1690371378,878911,959709
2.02E+11,80851,1690371379,878906,959757
2.02E+11,80049,1690371380,879141,959190
2.02E+11,80461,1690371381,878155,958616
2.02E+11,80766,1690371382,877932,958698
2.02E+11,80674,1690371383,879014,959688
2.02E+11,80837,1690371384,879274,960111
2.02E+11,80555,1690371385,878996,959551
2.02E+11,80967,1690371386,879303,960270
2.02E+11,81031,1690371387,877417,958448
2.02E+11,80946,1690371388,878172,959118
2.02E+11,80897,1690371389,878892,959789
2.02E+11,80686,1690371390,879709,960395
2.02E+11,81285,1690371391,879773,961058
2.02E+11,81143,1690371392,879255,960398
2.02E+11,81153,1690371393,878438,959591
2.02E+11,80927,1690371394,878151,959078
2.02E+11,80858,1690371395,878203,959061
2.02E+11,81199,1690371396,879358,960557
2.02E+11,80770,1690371397,879521,960291
2.02E+11,80947,1690371398,878417,959364
2.02E+11,80811,1690371399,878897,959708
2.02E+11,81013,1690371400,878410,959423
2.02E+11,80849,1690371401,878214,959063
2.02E+11,81188,1690371402,878853,960041
2.02E+11,80891,1690371403,878474,959365
2.02E+11,80701,1690371404,878249,958950
2.02E+11,80751,1690371405,878716,959467
2.02E+11,81290,1690371406,880046,961336
2.02E+11,81076,1690371407,879869,960945
2.02E+11,80897,1690371408,878978,959875
2.02E+11,80928,1690371409,880012,960940
2.02E+11,80903,1690371410,879595,960498
2.02E+11,80909,1690371411,879698,960607
2.02E+11,80885,1690371412,879523,960408
2.02E+11,80895,1690371412,880351,961246
2.02E+11,80432,1690371414,880074,960506
2.02E+11,80514,1690371415,880274,960788
2.02E+11,80652,1690371416,879735,960387
2.02E+11,80632,1690371417,880421,961053
2.02E+11,80427,1690371418,878521,958948
2.02E+11,80798,1690371419,876246,957044
2.02E+11,80747,1690371420,876559,957306
2.02E+11,80697,1690371421,876643,957340
2.02E+11,81000,1690371422,877711,958711
2.02E+11,80775,1690371423,877981,958756
2.02E+11,80780,1690371424,877681,958461
2.02E+11,80647,1690371425,878098,958745
2.02E+11,81067,1690371426,878750,959817
2.02E+11,81042,1690371427,879375,960417
2.02E+11,80921,1690371428,879084,960005
2.02E+11,80707,1690371429,878239,958946
2.02E+11,80714,1690371430,877215,957929
2.02E+11,80645,1690371431,876520,957165
2.02E+11,80741,1690371432,879057,959798
2.02E+11,80986,1690371433,879940,960926
2.02E+11,81046,1690371434,879100,960146
2.02E+11,80928,1690371435,880472,961400
2.02E+11,80609,1690371436,880826,961435
2.02E+11,80508,1690371437,879911,960419
2.02E+11,81052,1690371438,880052,961104
2.02E+11,80582,1690371439,880129,960711
2.02E+11,80815,1690371440,880480,961295
2.02E+11,80691,1690371441,881143,961834
2.02E+11,80783,1690371442,880955,961738
2.02E+11,80624,1690371443,880599,961223
2.02E+11,80671,1690371444,879899,960570
2.02E+11,80762,1690371445,880564,961326
2.02E+11,80696,1690371446,879634,960330
2.02E+11,80536,1690371447,879287,959823
2.02E+11,80325,1690371448,877918,958243
2.02E+11,80815,1690371449,878363,959178
2.02E+11,80856,1690371450,879257,960113
2.02E+11,80743,1690371451,879448,960191
2.02E+11,81194,1690371452,879672,960866
2.02E+11,80753,1690371453,879606,960359
2.02E+11,80913,1690371454,879968,960881
2.02E+11,80792,1690371455,880249,961041
2.02E+11,80813,1690371456,881016,961829
2.02E+11,80657,1690371457,881678,962335
2.02E+11,80486,1690371458,880874,961360
2.02E+11,80958,1690371459,880461,961419
2.02E+11,80798,1690371460,880430,961228
2.02E+11,80585,1690371461,879839,960424
2.02E+11,80996,1690371462,880008,961004
2.02E+11,81080,1690371463,880222,961302
2.02E+11,81525,1690371464,880121,961646
2.02E+11,80782,1690371465,879054,959836
2.02E+11,80912,1690371466,879252,960164
2.02E+11,80852,1690371467,878930,959782
2.02E+11,80849,1690371468,879157,960006
2.02E+11,80903,1690371469,879315,960218
2.02E+11,80769,1690371470,879938,960707
2.02E+11,80780,1690371471,879599,960379
2.02E+11,80749,1690371472,880002,960751
2.02E+11,80855,1690371473,879999,960854
2.02E+11,80251,1690371474,879837,960088
2.02E+11,80451,1690371475,880133,960584
2.02E+11,80506,1690371476,880880,961386
2.02E+11,80724,1690371477,880677,961401
2.02E+11,80542,1690371478,879710,960252
2.02E+11,80566,1690371479,880860,961426
2.02E+11,80680,1690371480,880421,961101
2.02E+11,79984,1690371481,881037,961021
2.02E+11,80996,1690371482,880329,961325
2.02E+11,80686,1690371483,881106,961792
2.02E+11,80501,1690371485,880419,960920
2.02E+11,80602,1690371486,880257,960859
2.02E+11,80282,1690371487,880119,960401
2.02E+11,80909,1690371488,879676,960585
2.02E+11,80349,1690371489,879447,959796
2.02E+11,80470,1690371490,879903,960373
2.02E+11,80123,1690371491,880630,960753
2.02E+11,80265,1690371492,879520,959785
2.02E+11,80673,1690371493,880430,961103
2.02E+11,80284,1690371494,880621,960905
2.02E+11,80572,1690371495,879902,960474
2.02E+11,80529,1690371496,879949,960478
2.02E+11,80675,1690371497,879343,960018
2.02E+11,80903,1690371498,880325,961228
2.02E+11,80799,1690371499,879622,960421
2.02E+11,80499,1690371500,880865,961364
2.02E+11,80740,1690371501,881039,961779
2.02E+11,80764,1690371502,880773,961537
2.02E+11,80801,1690371503,880011,960812
2.02E+11,80551,1690371504,879434,959985
2.02E+11,80677,1690371505,880269,960946
2.02E+11,80804,1690371506,879961,960765
2.02E+11,80832,1690371507,879589,960421
2.02E+11,80813,1690371508,879479,960292
2.02E+11,80703,1690371509,879868,960571
2.02E+11,80951,1690371510,878843,959794
2.02E+11,80694,1690371511,879595,960289
2.02E+11,80691,1690371512,880446,961137
2.02E+11,80713,1690371513,879431,960144
2.02E+11,80843,1690371514,878148,958991
2.02E+11,80589,1690371515,878865,959454
2.02E+11,80492,1690371516,879086,959578
2.02E+11,80525,1690371517,879368,959893
2.02E+11,80897,1690371518,880229,961126
2.02E+11,80928,1690371519,880615,961543
2.02E+11,80383,1690371520,879114,959497
2.02E+11,80296,1690371521,879784,960080
2.02E+11,79906,1690371522,879638,959544
2.02E+11,80243,1690371523,879974,960217
2.02E+11,80550,1690371524,880348,960898
2.02E+11,80091,1690371525,878545,958636
2.02E+11,80395,1690371526,877914,958309
2.02E+11,80298,1690371527,879123,959421
2.02E+11,80461,1690371528,879784,960245
2.02E+11,80605,1690371529,879743,960348
2.02E+11,80700,1690371530,880190,960890
2.02E+11,80415,1690371531,880457,960872
2.02E+11,80532,1690371532,879982,960514
2.02E+11,80396,1690371533,880867,961263
2.02E+11,80599,1690371534,881299,961898
2.02E+11,80467,1690371535,879691,960158
2.02E+11,80278,1690371536,879958,960236
2.02E+11,80437,1690371537,880459,960896
2.02E+11,80759,1690371538,880307,961066
2.02E+11,80995,1690371539,879335,960330
2.02E+11,80695,1690371540,879756,960451
2.02E+11,80578,1690371541,880009,960587
2.02E+11,80176,1690371542,879130,959306
2.02E+11,80920,1690371543,880175,961095
2.02E+11,80776,1690371544,879788,960564
2.02E+11,80635,1690371545,878398,959033
2.02E+11,80424,1690371546,880085,960509
2.02E+11,80695,1690371547,880019,960714
2.02E+11,80587,1690371548,880147,960734
2.02E+11,80893,1690371549,880556,961449
2.02E+11,80767,1690371550,879891,960658
2.02E+11,80369,1690371551,879640,960009
2.02E+11,80710,1690371552,882183,962893
2.02E+11,80589,1690371553,880934,961523
2.02E+11,80532,1690371554,881139,961671
2.02E+11,80721,1690371555,880539,961260
2.02E+11,80486,1690371556,878389,958875
2.02E+11,80677,1690371557,879566,960243
2.02E+11,80743,1690371558,879741,960484
2.02E+11,80520,1690371559,880919,961439
2.02E+11,80776,1690371560,880271,961047
2.02E+11,80884,1690371561,881534,962418
2.02E+11,80917,1690371562,881376,962293
2.02E+11,80546,1690371563,541073,621619
2.02E+11,80621,1690371564,541173,621794
2.02E+11,80403,1690371565,540839,621242
2.02E+11,80062,1690371566,541163,621225
2.02E+11,80378,1690371567,540586,620964
2.02E+11,80717,1690371568,540262,620979
2.02E+11,80172,1690371569,539365,619537
2.02E+11,80631,1690371570,540075,620706
2.02E+11,80141,1690371571,540110,620251
2.02E+11,80448,1690371572,539924,620372
2.02E+11,80816,1690371573,539562,620378
2.02E+11,80705,1690371574,541050,621755
2.02E+11,80622,1690371575,540754,621376
2.02E+11,80306,1690371576,540967,621273
2.02E+11,80505,1690371577,540859,621364
2.02E+11,80655,1690371578,541049,621704
2.02E+11,80446,1690371579,541591,622037
2.02E+11,80761,1690371580,540873,621634
2.02E+11,80843,1690371581,540951,621794
2.02E+11,80647,1690371582,540914,621561
2.02E+11,80773,1690371583,541184,621957
2.02E+11,80618,1690371584,540902,621520
2.02E+11,80911,1690371585,540937,621848
2.02E+11,80620,1690371586,541180,621800
2.02E+11,80567,1690371587,541045,621612
2.02E+11,80876,1690371588,540942,621818
2.02E+11,80288,1690371589,540516,620804
2.02E+11,80378,1690371590,540986,621364
2.02E+11,81010,1690371591,540588,621598
2.02E+11,80493,1690371592,540531,621024
2.02E+11,80636,1690371593,540128,620764
2.02E+11,80674,1690371594,540067,620741
2.02E+11,80986,1690371595,540245,621231
2.02E+11,80677,1690371596,540303,620980
2.02E+11,80947,1690371597,539733,620680
2.02E+11,80982,1690371598,540728,621710
2.02E+11,80970,1690371599,540587,621557
2.02E+11,81141,1690371600,541185,622326
2.02E+11,80865,1690371601,540885,621750
2.02E+11,81175,1690371602,540212,621387
2.02E+11,80963,1690371603,539936,620899
2.02E+11,81046,1690371604,540214,621260
2.02E+11,80739,1690371605,539445,620184
2.02E+11,80850,1690371606,540673,621523
2.02E+11,80868,1690371607,540667,621535
2.02E+11,80497,1690371608,540645,621142
